survey,site,cell,adult,tadpole,subadult,water,year,surv,date,fish,depth,elev,basin,surveyyear
4567,1379,118,0,0,0,0.48,1,1,262,No,-0.462958128,-0.208489148,0,
4689,1412,88,0,0,0,0.48,1,1,225,No,-0.487782955,0.4262819,0,
4704,1416,21,0,0,0,0.48,1,1,204,No,-0.338833993,-0.140746783,1,
4873,1474,32,0,0,0,0.48,1,1,207,SFL,-0.562257436,-0.170854501,1,
4924,1488,107,0,0,0,0.48,1,1,188,No,-0.562257436,-1.879467482,0,
5005,1510,118,0,0,0,0.48,1,1,258,No,-0.413308474,-0.981253903,0,
5013,1513,118,0,0,7,0.48,1,1,262,No,-0.016111242,0.027354641,0,
5108,1543,107,0,0,0,0.48,1,1,190,No,-0.487782955,-1.071577056,0,
5117,1546,113,0,0,12,0.48,1,1,258,No,-0.065760896,-0.629997196,0,
5182,1562,26,0,0,0,0.48,1,1,228,No,-0.562257436,-0.246123795,1,
5320,1604,118,0,0,0,0.48,1,1,260,No,-0.065760896,-0.216016078,0,
5341,1609,106,0,0,0,0.48,1,1,180,No,-0.36365882,-2.004916306,0,
5394,1627,88,0,0,0,0.48,1,1,225,No,-0.438133301,0.4262819,0,
5401,1629,113,0,0,7,0.48,1,1,259,No,0.306611509,-0.476949631,0,
5442,1636,106,0,0,0,0.48,1,1,180,No,-0.36365882,-1.959754729,0,
5516,1657,62,0,0,0,0.48,1,1,138,No,-0.562257436,-1.63860574,1,
5549,1665,118,0,0,1,0.48,1,1,264,No,0.306611509,-0.429279078,0,
5600,1677,21,0,0,0,0.48,1,1,202,No,0.182487374,0.165348347,1,
5609,1681,118,2,5,21,0.48,1,1,261,No,1.175480455,0.150294488,0,
5642,1689,21,0,0,0,0.48,1,1,204,No,0.430735645,-0.078022372,1,
5648,1691,118,1,12,4,0.48,1,1,261,No,0.108012893,-0.140746783,0,
5656,1695,15,0,0,0,0.48,1,1,230,No,-0.314009166,-1.164409186,1,
5689,1706,118,1,0,0,0.48,1,1,262,No,-0.189885031,-0.223543007,0,
5753,1726,93,0,0,0,0.48,1,1,238,No,-0.264359512,0.945640031,0,
5773,1730,118,0,0,0,0.48,1,1,260,No,-0.189885031,-0.18590836,0,
5800,1737,32,0,0,0,0.48,1,1,206,No,-0.264359512,0.351012606,1,
5908,1764,104,23,874,70,0.48,1,1,238,No,-0.065760896,1.068579878,0,
5982,1766,118,2,0,10,0.48,1,1,262,No,0.55485978,0.027354641,0,
6014,1778,21,0,0,0,0.48,1,1,205,No,0.430735645,0.373593394,1,
6024,1780,107,0,0,0,0.48,1,1,188,No,-0.512607782,-1.879467482,0,
6057,1794,21,0,0,0,0.48,1,1,202,No,-0.189885031,0.180402206,1,
6066,1798,107,0,0,0,0.48,1,1,190,No,0.108012893,-1.054014221,0,
6399,1894,58,0,0,0,0.48,1,1,158,SFL,-0.314009166,-3.841487087,1,
6404,1895,58,0,0,0,0.48,1,1,158,No,0.182487374,-3.871594805,1,
6411,1897,58,0,0,0,0.48,1,1,158,No,-0.314009166,-3.864067875,1,
6416,1899,62,0,0,0,0.48,1,1,154,No,-0.462958128,-2.157963871,1,
6737,1966,41,0,0,0,0.48,1,1,172,No,-0.189885031,-1.33251061,1,
6746,1967,82,0,0,0,0.48,1,1,165,SFL,-0.388483647,-0.338955925,0,
6750,1969,76,0,0,0,0.48,1,1,165,No,-0.562257436,-0.36404569,0,
6751,1969,76,0,0,0,0.48,1,2,214,No,-0.562257436,-0.36404569,0,
6758,1970,69,0,0,0,0.48,1,1,165,SFL,-0.562257436,-0.67766775,1,
6759,1970,69,0,0,0,0.48,1,2,194,SFL,-0.562257436,-0.67766775,1,
6760,1970,69,0,0,0,0.48,1,3,215,SFL,-0.562257436,-0.67766775,1,
6761,1970,69,0,0,0,0.48,1,4,227,SFL,-0.562257436,-0.67766775,1,
6792,1973,47,0,59,0,0.48,1,1,250,SFL,-0.189885031,-1.590935187,1,
6809,1973,47,0,3,0,0.48,1,2,167,SFL,-0.189885031,-1.590935187,1,
6810,1973,47,0,2,0,0.48,1,3,209,SFL,-0.189885031,-1.590935187,1,
6822,1976,47,0,0,0,0.48,1,1,209,No,-0.314009166,-1.011361621,1,
6823,1976,47,0,0,0,0.48,1,2,167,No,-0.314009166,-1.011361621,1,
6824,1976,47,0,0,0,0.48,1,3,250,No,-0.314009166,-1.011361621,1,
6837,1981,71,0,0,0,0.48,1,1,215,SF,0.182487374,0.366066465,0,
6839,1981,71,0,0,0,0.48,1,2,195,SF,0.182487374,0.366066465,0,
6840,1981,71,0,0,0,0.48,1,3,168,SF,0.182487374,0.366066465,0,
6847,1981,71,0,0,0,0.48,1,4,244,SF,0.182487374,0.366066465,0,
6862,1983,88,0,0,0,0.48,1,1,173,No,-0.562257436,0.466425524,0,
7004,2014,107,0,0,0,0.48,1,1,191,No,-0.388483647,-1.048996268,0,
7010,2017,64,0,0,0,0.48,1,1,194,SFL,-0.289184339,-0.700248538,1,
7039,2025,21,0,0,0,0.48,1,1,202,No,-0.562257436,0.059971335,1,
7050,2030,21,0,0,0,0.48,1,1,203,No,-0.562257436,0.4262819,1,
7052,2031,21,0,0,0,0.48,1,1,203,No,-0.562257436,0.135240629,1,
7056,2032,21,0,0,0,0.48,1,1,204,No,-0.562257436,-0.170854501,1,
7064,2034,21,0,0,0,0.48,1,1,205,SFL,-0.562257436,0.466425524,1,
7066,2035,21,0,0,0,0.48,1,1,205,No,-0.562257436,0.325922841,1,
7068,2036,32,0,0,0,0.48,1,1,205,No,-0.562257436,0.135240629,1,
7115,2045,32,20,627,11,0.48,1,1,206,No,0.182487374,0.526640959,1,
7190,2058,88,0,0,0,0.48,1,1,216,SFL,-0.512607782,0.785065537,0,
7251,2072,41,0,0,0,0.48,1,1,217,SFL,-0.264359512,-1.623551881,1,
7261,2074,72,0,0,0,0.48,1,1,221,SFL,-0.413308474,1.093669643,0,
7288,2078,72,0,0,0,0.48,1,1,222,No,-0.562257436,1.206573585,0,
7314,2083,32,2,11,2,0.48,1,1,206,No,-0.314009166,0.361048512,1,
7326,2084,83,2,0,0,0.48,1,1,222,No,0.182487374,1.221627444,0,
7340,2085,72,0,2,0,0.48,1,1,222,No,-0.438133301,1.354603197,0,
7350,2086,83,0,0,0,0.48,1,1,222,No,0.182487374,1.221627444,0,
7370,2087,72,0,0,0,0.48,1,1,223,No,-0.462958128,1.653171398,0,
7378,2091,83,0,0,0,0.48,1,1,224,No,-0.562257436,0.862843807,0,
7382,2092,83,0,0,0,0.48,1,1,225,SFL,-0.537432609,0.546712771,0,
7384,2093,20,0,0,0,0.48,1,1,229,No,-0.487782955,-0.522111208,1,
7386,2094,93,0,0,0,0.48,1,1,237,SFL,-0.487782955,0.734886007,0,
7389,2095,93,0,0,0,0.48,1,1,237,No,-0.487782955,0.732377031,0,
7390,2096,93,0,0,0,0.48,1,1,237,No,-0.537432609,0.862843807,0,
7392,2097,93,0,0,0,0.48,1,1,238,No,-0.36365882,0.800119395,0,
7395,2098,93,0,0,0,0.48,1,1,238,No,-0.438133301,0.78255656,0,
7397,2099,93,0,0,0,0.48,1,1,239,SFL,-0.487782955,0.672161595,0,
7405,2100,93,0,0,0,0.48,1,1,239,SFL,-0.388483647,0.03488157,0,
7412,2101,104,0,6,1,0.48,1,1,239,No,-0.487782955,0.827718137,0,
7414,2102,104,0,0,0,0.48,1,1,239,No,-0.487782955,1.038472161,0,
7417,2103,93,0,0,0,0.48,1,1,240,No,-0.512607782,0.724850101,0,
7424,2104,93,0,0,0,0.48,1,1,240,No,-0.562257436,0.619473089,0,
7431,2105,93,0,0,0,0.48,1,1,240,No,-0.438133301,0.616964113,0,
7437,2106,66,0,0,0,0.48,1,1,242,SFL,-0.438133301,1.30944162,0,
7441,2107,113,0,0,0,0.48,1,1,259,No,0.182487374,-0.522111208,0,
7442,2108,118,0,0,0,0.48,1,1,260,No,-0.562257436,-0.09307623,0,
7453,2109,118,1,0,3,0.48,1,1,260,SFL,0.182487374,-0.085549301,0,
7459,2110,118,1,7,3,0.48,1,1,262,No,-0.189885031,-0.088058277,0,
7464,2111,124,0,0,0,0.48,1,1,262,No,-0.462958128,-0.629997196,0,
7655,2152,81,0,0,0,0.48,1,1,225,No,0.182487374,0.800119395,1,
6,3,117,0,0,0,0.49,2,1,245,No,0.430735645,-1.578390305,0,
10,5,119,0,0,0,0.49,2,1,203,No,-0.438133301,0.471443477,0,
45,19,72,0,0,0,0.49,2,1,231,No,-0.11541055,1.833817704,0,
68,26,98,0,0,0,0.49,2,1,219,SFL,0.430735645,0.403701112,0,
76,28,109,0,0,0,0.49,2,1,218,No,0.430735645,0.456389618,0,
85,32,61,0,0,0,0.49,2,1,230,No,0.058363239,1.467507138,0,
91,34,117,0,0,0,0.49,2,1,248,No,0.952057012,-1.287349033,0,
95,35,117,0,0,0,0.49,2,1,243,No,0.182487374,-1.515665893,0,
108,37,117,0,0,0,0.49,2,1,245,No,-0.165060204,-1.440396599,0,
111,38,98,0,0,0,0.49,2,1,219,No,-0.388483647,0.303342053,0,
143,46,98,0,0,0,0.49,2,1,219,No,0.306611509,0.2130189,0,
160,49,72,0,0,0,0.49,2,1,231,No,0.654159088,1.740985574,0,
164,50,71,0,0,0,0.49,2,1,193,SFL,0.108012893,1.068579878,0,
214,68,31,0,0,0,0.49,2,1,175,No,-0.562257436,0.2130189,1,
223,69,117,1,0,0,0.49,2,1,246,No,0.604509434,-1.19702588,0,
233,71,135,0,0,0,0.49,2,1,204,No,-0.438133301,0.283270241,0,
243,74,104,0,0,0,0.49,2,1,217,No,-0.065760896,0.333449771,0,
258,79,31,0,0,0,0.49,2,1,175,No,-0.562257436,-0.429279078,1,
294,91,117,0,0,0,0.49,2,1,243,No,0.306611509,-1.272295175,0,
306,96,92,0,0,0,0.49,2,1,219,No,0.678983915,-0.308848207,0,
336,103,117,0,0,0,0.49,2,1,245,No,0.678983915,-1.63860574,0,
378,114,72,1,0,0,0.49,2,1,231,No,-0.264359512,1.587938009,0,
397,118,117,0,3,0,0.49,2,1,247,No,-0.189885031,-0.981253903,0,
433,133,87,0,0,0,0.49,2,1,219,No,0.306611509,0.366066465,0,
449,139,98,0,0,0,0.49,2,1,217,No,0.852757704,-0.276231513,0,
453,140,31,0,0,0,0.49,2,1,175,SFL,-0.189885031,-0.338955925,1,
531,160,98,0,0,0,0.49,2,1,219,No,0.927232185,0.396174183,0,
562,169,117,0,0,0,0.49,2,1,245,No,0.604509434,-1.455450457,0,
588,176,72,0,0,0,0.49,2,1,231,No,0.430735645,1.740985574,0,
592,177,31,0,0,0,0.49,2,1,175,No,-0.512607782,0.027354641,1,
607,184,104,0,33,0,0.49,2,1,190,No,0.058363239,0.609437183,0,
649,193,72,0,0,0,0.49,2,1,231,No,-0.016111242,1.863925422,0,
722,213,72,0,0,0,0.49,2,1,232,No,2.118823881,1.986865269,0,
762,226,31,0,0,0,0.49,2,1,175,No,-0.289184339,-0.476949631,1,
772,228,41,9,171,3,0.49,2,1,152,No,-0.314009166,-1.302402892,1,
773,228,41,6,1,32,0.49,2,2,178,No,-0.314009166,-1.302402892,1,
774,228,41,5,1,67,0.49,2,3,235,No,-0.314009166,-1.302402892,1,
854,239,20,1,0,0,0.49,2,1,176,No,0.182487374,-0.592362549,1,
868,243,117,0,0,5,0.49,2,1,247,No,0.058363239,-0.818170432,0,
882,247,20,0,0,0,0.49,2,1,176,SF,0.306611509,-0.27874049,1,
884,248,110,0,0,0,0.49,2,1,216,No,-0.065760896,1.068579878,0,
886,249,61,0,0,0,0.49,2,1,230,No,0.306611509,1.557830292,0,
888,250,135,0,5,0,0.49,2,1,204,SFL,0.058363239,0.283270241,0,
914,258,117,0,0,0,0.49,2,1,247,No,0.654159088,-1.19702588,0,
968,272,104,0,0,0,0.49,2,1,190,SF,1.920225265,1.098687596,0,
982,278,110,0,0,0,0.49,2,1,216,No,1.54785286,0.975747749,0,
985,279,117,0,0,0,0.49,2,1,245,No,1.597502514,-1.545773611,0,
997,280,117,0,0,0,0.49,2,1,245,No,0.455560472,-1.455450457,0,
1017,286,115,0,0,0,0.49,2,1,216,No,-0.562257436,1.557830292,0,
1032,293,117,0,0,0,0.49,2,1,245,SF,0.306611509,-1.63860574,0,
1041,296,117,1,0,3,0.49,2,1,247,No,2.863568691,-1.171936116,0,
1131,313,31,0,0,0,0.49,2,1,175,SF,0.182487374,-0.389135455,1,
1192,331,117,0,0,0,0.49,2,1,246,No,1.54785286,-1.23967848,0,
1217,336,98,0,0,0,0.49,2,1,219,SF,1.101005974,0.428790877,0,
1250,341,31,0,0,0,0.49,2,1,175,SF,0.80310805,-0.246123795,1,
1254,343,135,0,0,0,0.49,2,1,204,No,0.678983915,0.403701112,0,
1257,344,72,1,200,7,0.49,2,1,230,No,-0.314009166,1.374675009,0,
1307,352,117,0,0,0,0.49,2,1,246,SF,2.29259767,-1.23967848,0,
1341,363,71,0,0,0,0.49,2,1,193,SF,2.416721805,1.083633737,0,
1360,370,115,0,0,0,0.49,2,1,216,SF,2.54084594,0.915532313,0,
1365,372,98,0,0,0,0.49,2,1,218,SF,1.249954936,0.303342053,0,
1367,373,124,0,0,0,0.49,2,1,205,No,-0.512607782,0.441335759,0,
1369,374,26,0,0,0,0.49,2,1,174,SF,2.54084594,-0.258668678,1,
1396,380,98,0,0,0,0.49,2,1,218,SFL,2.29259767,0.323413865,0,
1443,393,124,5,2,19,0.49,2,1,202,No,1.175480455,-0.085549301,0,
1504,408,104,0,0,0,0.49,2,1,190,SF,3.409714885,0.915532313,0,
1556,422,117,0,0,0,0.49,2,1,245,SF,4.03033556,-1.515665893,0,
1575,426,72,5,2,6,0.49,2,1,232,No,3.161466615,1.894033139,0,
1585,428,31,0,0,0,0.49,2,1,175,No,-0.562257436,0.135240629,1,
1705,454,117,0,0,0,0.49,2,1,245,SFL,4.526832101,-1.611006999,0,
1710,455,92,0,0,0,0.49,2,1,219,SF,2.416721805,0.152803464,0,
1763,476,115,0,0,0,0.49,2,1,216,SFL,6.636942396,1.221627444,0,
1780,483,117,0,0,0,0.49,2,1,247,SFL,2.0443494,-1.134301468,0,
1817,490,41,0,0,0,0.49,2,1,152,SFL,-0.189885031,-1.485558175,1,
1818,490,41,0,0,0,0.49,2,2,180,SFL,-0.189885031,-1.485558175,1,
1840,491,98,0,0,0,0.49,2,1,219,SF,2.0443494,0.16283937,0,
1845,492,104,0,0,0,0.49,2,1,189,SF,1.423728725,0.609437183,0,
1877,500,117,3,2,1,0.49,2,1,248,SFL,6.885190666,-1.144337374,0,
1908,507,135,0,62,0,0.49,2,1,204,SF,3.161466615,0.283270241,0,
1920,510,104,0,0,0,0.49,2,1,189,SF,6.885190666,1.128795314,0,
1936,515,124,0,0,0,0.49,2,1,202,SF,2.416721805,-0.085549301,0,
1941,517,130,0,0,0,0.49,2,1,205,No,4.650956236,0.96069389,0,
1945,519,124,4,25,5,0.49,2,1,203,No,0.55485978,-0.017806936,0,
2061,548,124,0,14,0,0.49,2,1,203,No,-0.264359512,0.288288194,0,
2072,552,124,0,0,0,0.49,2,1,203,No,-0.462958128,-0.140746783,0,
2144,578,61,0,0,0,0.49,2,1,230,No,-0.462958128,1.434890444,0,
2165,585,124,0,0,0,0.49,2,1,201,No,-0.462958128,-0.062968513,0,
2205,597,124,0,0,0,0.49,2,1,201,No,-0.512607782,-0.062968513,0,
2224,605,117,3,0,2,0.49,2,1,248,No,0.182487374,-1.317456751,0,
2243,610,124,0,19,0,0.49,2,1,201,No,-0.512607782,-0.032860795,0,
2246,611,124,0,0,0,0.49,2,1,205,No,-0.462958128,0.471443477,0,
2259,617,117,1,0,4,0.49,2,1,248,No,-0.36365882,-1.287349033,0,
2359,643,130,0,0,0,0.49,2,1,205,No,-0.289184339,0.930586172,0,
2396,659,117,0,0,0,0.49,2,1,245,No,-0.264359512,-1.530719752,0,
2447,674,104,0,0,0,0.49,2,1,191,No,-0.189885031,0.679688525,0,
2466,679,98,0,0,0,0.49,2,1,219,No,-0.462958128,0.396174183,0,
2523,701,117,0,0,0,0.49,2,1,243,No,-0.289184339,-1.698821176,0,
2542,709,72,0,0,0,0.49,2,1,231,No,-0.487782955,1.650662421,0,
2582,720,117,0,0,0,0.49,2,1,243,No,-0.36365882,-1.698821176,0,
2687,744,72,0,0,0,0.49,2,1,231,No,-0.314009166,1.710877857,0,
2720,756,124,0,0,0,0.49,2,1,203,No,-0.462958128,0.403701112,0,
2744,762,124,0,0,0,0.49,2,1,201,No,-0.462958128,0.090079052,0,
2752,765,130,0,0,0,0.49,2,1,201,No,-0.438133301,0.12018677,0,
2754,766,117,0,0,0,0.49,2,1,246,No,-0.413308474,-1.194516904,0,
2756,767,117,0,0,0,0.49,2,1,245,No,-0.413308474,-1.623551881,0,
2841,796,117,0,0,0,0.49,2,1,245,No,-0.36365882,-1.623551881,0,
2874,811,117,0,0,0,0.49,2,1,247,No,-0.36365882,-1.104193751,0,
2881,813,117,15,0,5,0.49,2,1,248,No,-0.140235377,-1.410288881,0,
2888,814,117,0,0,0,0.49,2,1,247,No,-0.140235377,-0.996307762,0,
3020,853,117,0,0,0,0.49,2,1,245,No,-0.438133301,-1.455450457,0,
3035,857,124,0,0,0,0.49,2,1,201,No,-0.413308474,-0.062968513,0,
3037,858,124,0,0,0,0.49,2,1,203,No,-0.462958128,-0.078022372,0,
3092,877,130,0,0,0,0.49,2,1,201,No,-0.462958128,0.12018677,0,
3100,880,124,0,0,0,0.49,2,1,202,No,-0.487782955,-0.032860795,0,
3102,881,117,0,0,0,0.49,2,1,243,No,-0.264359512,-1.500612034,0,
3133,891,87,0,0,0,0.49,2,1,220,No,-0.413308474,-0.951146186,0,
3137,893,117,1,0,0,0.49,2,1,247,No,-0.264359512,-0.996307762,0,
3145,895,117,0,0,0,0.49,2,1,247,No,-0.065760896,-1.164409186,0,
3170,902,98,0,0,0,0.49,2,1,219,No,-0.487782955,0.396174183,0,
3202,913,124,0,0,0,0.49,2,1,203,No,-0.140235377,0.3409767,0,
3209,916,117,0,0,0,0.49,2,1,245,No,-0.36365882,-1.623551881,0,
3223,923,124,0,0,0,0.49,2,1,203,No,-0.438133301,-0.123183948,0,
3231,927,26,0,0,0,0.49,2,1,174,No,-0.413308474,-0.258668678,1,
3243,931,117,0,0,0,0.49,2,1,246,No,-0.36365882,-1.194516904,0,
3295,950,117,0,0,0,0.49,2,1,246,No,-0.189885031,-1.224624622,0,
3300,952,124,0,0,0,0.49,2,1,203,No,-0.289184339,-0.461895773,0,
3318,957,117,0,0,0,0.49,2,1,248,No,-0.36365882,-1.287349033,0,
3322,959,135,0,0,0,0.49,2,1,204,No,-0.388483647,0.441335759,0,
3364,976,117,0,0,0,0.49,2,1,247,No,-0.264359512,-1.164409186,0,
3435,990,117,0,0,0,0.49,2,1,247,No,-0.165060204,-1.530719752,0,
3448,994,124,1,0,0,0.49,2,1,202,No,-0.314009166,-0.170854501,0,
3491,1008,124,0,0,0,0.49,2,1,202,No,-0.438133301,-0.078022372,0,
3519,1019,117,0,0,0,0.49,2,1,247,No,-0.438133301,-0.918529491,0,
3543,1026,124,0,0,0,0.49,2,1,202,No,-0.462958128,-0.170854501,0,
3561,1031,117,0,0,0,0.49,2,1,243,No,-0.314009166,-1.440396599,0,
3571,1035,72,2,0,0,0.49,2,1,231,No,-0.487782955,1.557830292,0,
3577,1036,109,0,0,0,0.49,2,1,218,No,-0.438133301,0.366066465,0,
3599,1043,124,0,2,1,0.49,2,1,203,No,-0.438133301,0.288288194,0,
3605,1045,117,0,0,0,0.49,2,1,245,SFL,-0.314009166,-1.515665893,0,
3697,1076,117,1,0,0,0.49,2,1,248,No,-0.438133301,-1.287349033,0,
3740,1088,61,0,2,1,0.49,2,1,230,No,-0.388483647,1.434890444,0,
3747,1091,124,0,0,0,0.49,2,1,205,No,-0.065760896,0.594383324,0,
